nest,cam,n,year,island,terr,date,julian,lay_date,hatch_date,LD,HD,age,hatch,chick,survive,pred,t,obvs,type,ground,veg,place,per_cover,str_veg,str_rock,max_str,dens,nn,nest_lagu,nest_tern
F3-2,F3,50,2018,Flat,USVI,26-May,146,17-May,10-Jun,137,161,9,1,NA,1,0,1,5,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,27-May,147,17-May,10-Jun,137,161,10,1,NA,1,0,1,6,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,28-May,148,17-May,10-Jun,137,161,11,1,NA,1,0,1,7,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,29-May,149,17-May,10-Jun,137,161,12,1,NA,1,0,1,8,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,30-May,150,17-May,10-Jun,137,161,13,1,NA,1,0,1,9,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,31-May,151,17-May,10-Jun,137,161,14,1,NA,1,0,1,10,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,1-Jun,152,17-May,10-Jun,137,161,15,1,NA,1,0,1,11,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,2-Jun,153,17-May,10-Jun,137,161,16,1,NA,1,0,1,12,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,3-Jun,154,17-May,10-Jun,137,161,17,1,NA,1,0,1,13,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,4-Jun,155,17-May,10-Jun,137,161,18,1,NA,1,0,1,14,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F3-2,F3,50,2018,Flat,USVI,5-Jun,156,17-May,10-Jun,137,161,19,0,NA,0,0,1,15,bare,rock,bare,center,0,0,91.44,91.44,0.38,1,4,4
F7-1,F7,50,2018,Flat,USVI,22-May,142,15-May,8-Jun,135,159,7,1,NA,1,0,1,1,bare,litter,vine,center,0.25,2.54,30.48,30.48,4,1,4,4
F7-1,F7,50,2018,Flat,USVI,23-May,143,15-May,8-Jun,135,159,8,1,NA,1,0,1,2,bare,litter,vine,center,0.25,2.54,30.48,30.48,4,1,4,4
F7-1,F7,50,2018,Flat,USVI,24-May,144,15-May,8-Jun,135,159,9,1,NA,1,0,1,3,bare,litter,vine,center,0.25,2.54,30.48,30.48,4,1,4,4
F7-1,F7,50,2018,Flat,USVI,25-May,145,15-May,8-Jun,135,159,10,1,NA,1,0,1,4,bare,litter,vine,center,0.25,2.54,30.48,30.48,4,1,4,4
F7-1,F7,50,2018,Flat,USVI,26-May,146,15-May,8-Jun,135,159,11,1,NA,1,0,1,5,bare,litter,vine,center,0.25,2.54,30.48,30.48,4,1,4,4
